Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 6 -8.104262 0.0 -44.818 9.12378 -16.0752 221.095 -1411.41 219.244 -1408.47 0.0 219.244 -1408.47 326.164 -44.818 -907.88 252.759 252.759
4 7 -8.104262 0.0 -44.818 9.12378 -16.0752 221.095 -1411.41 219.244 -1408.47 0.0 219.244 -1408.47 326.164 -44.818 -907.88 252.759 252.759
5 0 -8.552491 0.0 -54.2429 9.27816 -16.0868 221.095 -1411.41 218.721 -1400.19 0.0 218.721 -1400.19 320.476 -54.2429 -915.2358 242.13 242.13
5 1 -8.552491 0.0 -54.2429 9.27816 -16.0868 221.095 -1411.41 218.721 -1400.19 0.0 218.721 -1400.19 320.476 -54.2429 -915.2358 242.13 242.13
5 2 -8.552491 0.0 -54.2429 9.27816 -16.0868 221.095 -1411.41 218.721 -1400.19 0.0 218.721 -1400.19 320.476 -54.2429 -915.2358 242.13 242.13
5 3 -8.556328 0.0 -54.0687 9.30801 -16.0955 221.095 -1411.41 218.744 -1400.52 0.0 218.744 -1400.52 320.769 -54.0687 -915.0757 242.356 242.356
5 4 -8.556328 0.0 -54.0687 9.30801 -16.0955 221.095 -1411.41 218.744 -1400.52 0.0 218.744 -1400.52 320.769 -54.0687 -915.0757 242.356 242.356
5 5 -8.573933 0.0 -54.2931 9.29177 -16.0437 221.095 -1411.41 218.709 -1400.38 0.0 218.709 -1400.38 321.036 -54.2931 -914.9281 242.535 242.535
5 6 -8.573933 0.0 -54.2931 9.29177 -16.0437 221.095 -1411.41 218.709 -1400.38 0.0 218.709 -1400.38 321.036 -54.2931 -914.9281 242.535 242.535
5 7 -8.573933 0.0 -54.2931 9.29177 -16.0437 221.095 -1411.41 218.709 -1400.38 0.0 218.709 -1400.38 321.036 -54.2931 -914.9281 242.535 242.535
6 0 -8.262399 0.0 -45.2365 9.6661 -17.1479 221.095 -1411.41 219.049 -1410.34 0.0 219.049 -1410.34 322.105 -45.2365 -914.4224 249.103 249.103
6 1 -8.140552 0.0 -45.4996 9.36438 -16.7522 221.095 -1411.41 219.267 -1408.35 0.0 219.267 -1408.35 322.085 -45.4996 -912.4977 248.45 248.45
6 2 -8.007861 0.0 -39.2604 9.77339 -15.8141 221.095 -1411.41 219.425 -1414.5 0.0 219.425 -1414.5 323.496 -39.2604 -910.8394 253.215 253.215
6 3 -7.76605 0.0 -37.2457 9.81801 -16.6506 221.095 -1411.41 219.761 -1414.95 0.0 219.761 -1414.95 321.901 -37.2457 -910.5337 250.149 250.149
6 4 -7.7118096 0.0 -35.958 9.73141 -16.018 221.095 -1411.41 219.861 -1415.71 0.0 219.861 -1415.71 321.851 -35.958 -909.95593 253.315 253.315
6 5 -7.667046 0.0 -35.7318 9.71572 -16.1278 221.095 -1411.41 219.866 -1415.47 0.0 219.866 -1415.47 321.956 -35.7318 -909.3799 253.655 253.655
6 6 -7.7060747 0.0 -39.2494 9.49975 -16.0359 221.095 -1411.41 220.188 -1411.41 0.0 220.188 -1411.41 321.455 -39.2494 -909.0165 253.974 253.974
6 7 -7.623326 0.0 -36.1681 9.5436 -16.8094 221.095 -1411.41 220.546 -1416.08 0.0 220.546 -1416.08 323.527 -36.1681 -908.17505 254.751 254.751
6 8 -7.970957 0.0 -41.2629 9.55204 -16.3316 221.095 -1411.41 219.256 -1411.4 0.0 219.256 -1411.4 326.266 -41.2629 -907.141 254.471 254.471
6 9 -7.5783086 0.0 -35.3822 9.57554 -16.8117 221.095 -1411.41 220.674 -1416.71 0.0 220.674 -1416.71 324.33 -35.3822 -907.0882 255.745 255.745
6 10 -8.332315 0.0 -46.911 9.4377 -16.5924 221.095 -1411.41 219.365 -1409.18 0.0 219.365 -1409.18 330.56 -46.911 -906.166 255.327 255.327
6 11 -8.053647 0.0 -40.9257 9.57743 -16.3492 221.095 -1411.41 219.372 -1413.43 0.0 219.372 -1413.43 359.912 -40.9257 -875.0717 288.331 288.331
7 0 -8.064585 0.0 -41.6533 9.48462 -17.5068 221.095 -1411.41 219.194 -1413.51 0.0 219.194 -1413.51 321.862 -41.6533 -914.1073 244.601 244.601
7 1 -8.084761 0.0 -41.9027 9.48727 -17.5214 221.095 -1411.41 219.178 -1413.44 0.0 219.178 -1413.44 322.093 -41.9027 -914.07166 244.641 244.641
7 2 -8.044839 0.0 -44.8912 9.52475 -17.1122 221.095 -1411.41 219.035 -1407.48 0.0 219.035 -1407.48 322.07 -44.8912 -911.2661 245.25 245.25
7 3 -7.615349 0.0 -35.4979 9.6112 -16.9024 221.095 -1411.41 219.67 -1415.62 0.0 219.67 -1415.62 331.589 -35.4979 -899.85895 258.46 258.46
7 4 -7.4338984 0.0 -33.3175 9.58307 -16.6028 221.095 -1411.41 219.651 -1415.74 0.0 219.651 -1415.74 331.244 -33.3175 -898.1625 259.554 259.554
7 5 -7.4338984 0.0 -33.3175 9.58307 -16.6028 221.095 -1411.41 219.651 -1415.74 0.0 219.651 -1415.74 331.244 -33.3175 -898.1625 259.554 259.554
7 6 -7.6977262 0.0 -39.2335 9.6103 -17.2847 221.095 -1411.41 219.453 -1411.24 0.0 219.453 -1411.24 333.211 -39.2335 -897.80945 260.199 260.199
7 7 -7.5564313 0.0 -38.0486 9.61751 -17.3272 221.095 -1411.41 219.405 -1410.72 0.0 219.405 -1410.72 333.105 -38.0486 -896.25854 260.802 260.802
8 0 -8.267284 0.0 -48.4488 9.3696 -16.0558 221.095 -1411.41 219.495 -1405.51 0.0 219.495 -1405.51 320.963 -48.4488 -913.50085 248.692 248.692
8 1 -8.267728 0.0 -48.4101 9.32756 -16.0461 221.095 -1411.41 219.487 -1405.62 0.0 219.487 -1405.62 321.174 -48.4101 -913.3691 248.871 248.871
8 2 -8.267728 0.0 -48.4101 9.32756 -16.0461 221.095 -1411.41 219.487 -1405.62 0.0 219.487 -1405.62 321.174 -48.4101 -913.3691 248.871 248.871
8 3 -8.267728 0.0 -48.4101 9.32756 -16.0461 221.095 -1411.41 219.487 -1405.62 0.0 219.487 -1405.62 321.174 -48.4101 -913.3691 248.871 248.871
8 4 -8.267728 0.0 -48.4101 9.32756 -16.0461 221.095 -1411.41 219.487 -1405.62 0.0 219.487 -1405.62 321.174 -48.4101 -913.3691 248.871 248.871
8 5 -8.267728 0.0 -48.4101 9.32756 -16.0461 221.095 -1411.41 219.487 -1405.62 0.0 219.487 -1405.62 321.174 -48.4101 -913.3691 248.871 248.871
8 6 -8.208308 0.0 -47.818 9.35418 -16.1344 221.095 -1411.41 219.609 -1405.8 0.0 219.609 -1405.8 321.049 -47.818 -912.9601 249.316 249.316
8 7 -8.208308 0.0 -47.818 9.35418 -16.1344 221.095 -1411.41 219.609 -1405.8 0.0 219.609 -1405.8 321.049 -47.818 -912.9601 249.316 249.316
9 0 -8.34717 0.0 -45.386 9.39114 -15.1911 221.095 -1411.41 219.274 -1410.31 0.0 219.274 -1410.31 323.247 -45.386 -913.175 250.375 250.375
9 1 -8.225296 0.0 -44.1756 9.39446 -15.14 221.095 -1411.41 219.33 -1410.22 0.0 219.33 -1410.22 322.274 -44.1756 -912.79156 250.773 250.773
9 2 -8.225296 0.0 -44.1756 9.39446 -15.14 221.095 -1411.41 219.33 -1410.22 0.0 219.33 -1410.22 322.274 -44.1756 -912.79156 250.773 250.773
9 3 -8.261903 0.0 -44.3667 9.41224 -15.2886 221.095 -1411.41 219.224 -1410.48 0.0 219.224 -1410.48 323.401 -44.3667 -912.2217 250.701 250.701
9 4 -7.367694 0.0 -35.5643 9.47225 -15.2366 221.095 -1411.41 219.392 -1409.59 0.0 219.392 -1409.59 321.961 -35.5643 -903.8013 258.776 258.776
10 0 -8.329415 0.0 -46.0709 9.49855 -17.5791 221.095 -1411.41 218.515 -1410.01 0.0 218.515 -1410.01 324.697 -46.0709 -912.8689 251.964 251.964
10 1 -8.329415 0.0 -46.0709 9.49855 -17.5791 221.095 -1411.41 218.515 -1410.01 0.0 218.515 -1410.01 324.697 -46.0709 -912.8689 251.964 251.964
10 2 -8.202935 0.0 -44.5993 9.50406 -17.4883 221.095 -1411.41 218.574 -1410.21 0.0 218.574 -1410.21 323.946 -44.5993 -912.2893 252.595 252.595
10 3 -8.202935 0.0 -44.5993 9.50406 -17.4883 221.095 -1411.41 218.574 -1410.21 0.0 218.574 -1410.21 323.946 -44.5993 -912.2893 252.595 252.595
10 4 -8.202935 0.0 -44.5993 9.50406 -17.4883 221.095 -1411.41 218.574 -1410.21 0.0 218.574 -1410.21 323.946 -44.5993 -912.2893 252.595 252.595
10 5 -8.202935 0.0 -44.5993 9.50406 -17.4883 221.095 -1411.41 218.574 -1410.21 0.0 218.574 -1410.21 323.946 -44.5993 -912.2893 252.595 252.595
10 6 -8.3079815 0.0 -45.9302 9.50572 -17.6368 221.095 -1411.41 218.519 -1409.93 0.0 218.519 -1409.93 325.065 -45.9302 -912.2763 252.213 252.213
10 7 -8.3079815 0.0 -45.9302 9.50572 -17.6368 221.095 -1411.41 218.519 -1409.93 0.0 218.519 -1409.93 325.065 -45.9302 -912.2763 252.213 252.213
11 0 -8.1406765 0.0 -46.5057 9.59966 -16.6505 221.095 -1411.41 218.755 -1405.54 0.0 218.755 -1405.54 320.468 -46.5057 -912.82275 247.753 247.753
11 1 -8.136389 0.0 -46.5017 9.60206 -16.6565 221.095 -1411.41 218.756 -1405.48 0.0 218.756 -1405.48 320.432 -46.5017 -912.7937 247.754 247.754
11 2 -8.163401 0.0 -46.1064 9.36734 -16.4715 221.095 -1411.41 218.937 -1406.99 0.0 218.937 -1406.99 323.849 -46.1064 -910.3103 248.844 248.844
11 3 -8.164845 0.0 -46.1825 9.36945 -16.485 221.095 -1411.41 218.933 -1406.9 0.0 218.933 -1406.9 323.893 -46.1825 -910.2565 248.864 248.864
11 4 -7.8943706 0.0 -44.0128 9.08269 -15.7165 221.095 -1411.41 219.477 -1406.35 0.0 219.477 -1406.35 321.831 -44.0128 -909.05475 251.942 251.942
11 5 -8.236261 0.0 -49.444 9.30034 -14.8812 221.095 -1411.41 219.445 -1402.32 0.0 219.445 -1402.32 335.079 -49.444 -897.2399 265.001 265.001
11 6 -7.6165648 0.0 -42.1386 9.06355 -15.3445 221.095 -1411.41 219.603 -1404.56 0.0 219.603 -1404.56 331.34 -42.1386 -895.7556 266.294 266.294
11 7 -7.5457807 0.0 -40.9334 8.99937 -15.43 221.095 -1411.41 219.557 -1405.38 0.0 219.557 -1405.38 334.054 -40.9334 -892.7024 269.291 269.291
11 8 -7.895723 0.0 -46.0657 9.69972 -16.2254 221.095 -1411.41 219.261 -1402.42 0.0 219.261 -1402.42 349.243 -46.0657 -879.9817 279.075 279.075
11 9 -7.7962456 0.0 -45.3154 9.77924 -16.1206 221.095 -1411.41 219.192 -1401.62 0.0 219.192 -1401.62 351.567 -45.3154 -876.1764 282.615 282.615
11 10 -7.7697296 0.0 -44.9485 9.8023 -16.0659 221.095 -1411.41 219.235 -1401.73 0.0 219.235 -1401.73 351.49 -44.9485 -875.9535 283.117 283.117
12 0 -7.8772235 0.0 -38.8528 9.52148 -17.1543 221.095 -1411.41 219.26 -1414.47 0.0 219.26 -1414.47 321.24 -38.8528 -912.82275 247.698 247.698
12 1 -7.880356 0.0 -39.0588 9.52393 -17.1692 221.095 -1411.41 219.251 -1414.2 0.0 219.251 -1414.2 321.357 -39.0588 -912.65076 247.685 247.685
12 2 -7.889397 0.0 -41.665 9.50453 -16.3911 221.095 -1411.41 218.681 -1408.69 0.0 218.681 -1408.69 319.902 -41.665 -911.77185 247.667 247.667
12 3 -7.6262455 0.0 -36.6852 9.5282 -17.4712 221.095 -1411.41 219.586 -1414.53 0.0 219.586 -1414.53 321.244 -36.6852 -910.3852 250.688 250.688
12 4 -7.6016536 0.0 -36.2878 9.5372 -17.426 221.095 -1411.41 219.545 -1414.62 0.0 219.545 -1414.62 321.172 -36.2878 -910.19086 250.512 250.512
12 5 -7.598383 0.0 -37.3427 9.52739 -16.2136 221.095 -1411.41 218.983 -1410.87 0.0 218.983 -1410.87 320.11 -37.3427 -909.11975 249.42 249.42
12 6 -7.030737 0.0 -28.2354 9.5188 -17.9741 221.095 -1411.41 218.662 -1416.95 0.0 218.662 -1416.95 331.609 -28.2354 -894.9144 264.69 264.69
13 0 -8.449322 0.0 -46.846 9.63223 -17.5381 221.095 -1411.41 219.095 -1411.42 0.0 219.095 -1411.42 326.71 -46.846 -912.46106 247.503 247.503
13 1 -8.166314 0.0 -42.771 9.64463 -16.5214 221.095 -1411.41 219.154 -1412.15 0.0 219.154 -1412.15 325.17 -42.771 -910.597 251.093 251.093
14 0 -7.929466 0.0 -45.3777 9.39082 -15.9523 221.095 -1411.41 218.828 -1403.57 0.0 218.828 -1403.57 317.677 -45.3777 -912.4426 249.372 249.372
14 1 -7.880378 0.0 -44.8705 9.3494 -15.9338 221.095 -1411.41 218.765 -1403.5 0.0 218.765 -1403.5 317.807 -44.8705 -911.79846 249.745 249.745
14 2 -7.880378 0.0 -44.8705 9.3494 -15.9338 221.095 -1411.41 218.765 -1403.5 0.0 218.765 -1403.5 317.807 -44.8705 -911.79846 249.745 249.745
14 3 -7.880378 0.0 -44.8705 9.3494 -15.9338 221.095 -1411.41 218.765 -1403.5 0.0 218.765 -1403.5 317.807 -44.8705 -911.79846 249.745 249.745
14 4 -7.880378 0.0 -44.8705 9.3494 -15.9338 221.095 -1411.41 218.765 -1403.5 0.0 218.765 -1403.5 317.807 -44.8705 -911.79846 249.745 249.745
14 5 -7.803152 0.0 -43.9913 9.3639 -16.165 221.095 -1411.41 218.787 -1403.84 0.0 218.787 -1403.84 318.555 -43.9913 -910.48926 251.279 251.279
14 6 -7.803152 0.0 -43.9913 9.3639 -16.165 221.095 -1411.41 218.787 -1403.84 0.0 218.787 -1403.84 318.555 -43.9913 -910.48926 251.279 251.279
14 7 -7.803152 0.0 -43.9913 9.3639 -16.165 221.095 -1411.41 218.787 -1403.84 0.0 218.787 -1403.84 318.555 -43.9913 -910.48926 251.279 251.279
15 0 -8.175971 0.0 -44.3175 9.30073 -16.5861 221.095 -1411.41 219.611 -1411.22 0.0 219.611 -1411.22 323.56 -44.3175 -912.3666 250.156 250.156
15 1 -7.9628897 0.0 -43.1387 9.33614 -15.607 221.095 -1411.41 220.713 -1410.23 0.0 220.713 -1410.23 320.314 -43.1387 -912.3417 252.551 252.551
15 2 -7.8167906 0.0 -37.2707 9.59536 -16.8942 221.095 -1411.41 220.008 -1416.71 0.0 220.008 -1416.71 323.597 -37.2707 -910.3757 254.161 254.161
15 3 -8.228673 0.0 -46.1339 9.35714 -15.3747 221.095 -1411.41 220.106 -1408.74 0.0 220.106 -1408.74 324.435 -46.1339 -910.33295 254.276 254.276
15 4 -7.7068324 0.0 -36.2853 9.72351 -17.5783 221.095 -1411.41 220.304 -1417.38 0.0 220.304 -1417.38 323.924 -36.2853 -909.4373 253.728 253.728
